Cycle,Plane,Landmark #1,Landmark #2,Landmark #3,Landmark #4,Landmark #5,Landmark #6,Landmark #7,Landmark #8,Landmark #9,Landmark #10,Landmark #11,Landmark #12,Landmark #13,Landmark #14,Landmark #15,Landmark #16,Landmark #17,Landmark #18,Landmark #19,Landmark #20,Correct?
125,x,103,83,84,-255,40,21,16,-158,4,-1,1,-80,-7,-2,4,-65,-40,-28,-22,184,Yes
125,y,102,69,28,95,120,74,65,-241,135,80,69,-298,128,76,72,-316,85,55,58,-497,Yes
126,x,103,83,84,-256,41,21,16,-158,4,-2,1,-79,-7,-2,4,-65,-40,-28,-22,183,Yes
126,y,101,69,29,94,121,73,65,-240,135,80,69,-299,128,76,72,-315,84,55,57,-496,Yes
127,x,103,83,84,-255,40,22,16,-158,4,-2,1,-79,-7,-2,3,-64,-41,-28,-22,184,Yes
127,y,102,70,28,94,121,72,66,-240,135,80,68,-297,127,76,72,-315,84,56,57,-497,Yes
128,x,103,83,84,-256,41,21,16,-158,4,-1,0,-79,-6,-2,4,-66,-40,-28,-22,184,Yes
128,y,102,69,28,95,120,73,65,-239,134,80,68,-297,128,75,72,-314,84,55,57,-496,Yes
129,x,103,83,84,-256,41,21,16,-158,4,-1,0,-79,-7,-1,4,-66,-40,-28,-22,183,Yes
129,y,103,69,28,95,120,73,66,-240,134,79,68,-296,128,75,72,-314,84,55,56,-496,Yes
130,x,103,83,85,-256,40,21,17,-158,4,-2,1,-79,-7,-2,4,-65,-40,-29,-22,184,Yes
130,y,103,70,27,95,120,73,65,-239,134,79,68,-296,128,75,72,-314,84,55,56,-495,Yes
131,x,103,83,85,-256,40,21,17,-158,4,-2,0,-78,-7,-2,4,-65,-41,-28,-21,183,Yes
131,y,103,69,27,95,120,73,66,-240,134,79,68,-296,128,75,72,-314,84,55,56,-495,Yes
132,x,103,84,84,-256,40,21,16,-157,4,-2,0,-78,-7,-2,3,-64,-41,-28,-22,185,Yes
132,y,104,70,27,94,120,73,66,-240,135,79,68,-296,127,76,71,-313,84,54,56,-495,Yes
133,x,102,84,84,-256,40,21,17,-158,4,-2,0,-78,-7,-2,3,-64,-41,-28,-22,184,Yes
133,y,103,70,27,95,120,72,66,-240,135,79,68,-296,127,76,71,-313,83,55,57,-496,Yes
134,x,103,84,84,-256,40,21,17,-159,5,-2,1,-80,-6,-2,4,-65,-41,-28,-22,185,Yes
134,y,103,70,27,95,120,73,65,-239,134,80,68,-296,127,76,71,-313,84,54,57,-496,Yes
135,x,104,83,83,-255,41,21,16,-158,4,-2,0,-78,-7,-2,4,-65,-41,-28,-22,185,Yes
135,y,103,69,28,95,120,73,66,-240,134,79,68,-295,127,76,72,-314,83,55,57,-495,Yes
136,x,103,84,84,-256,40,21,16,-157,4,-2,0,-78,-7,-2,3,-64,-41,-28,-22,185,Yes
136,y,102,69,28,95,121,73,65,-239,134,79,69,-297,128,76,71,-313,83,55,57,-496,Yes
137,x,104,83,84,-255,40,21,16,-157,4,-2,0,-78,-7,-2,3,-64,-41,-28,-22,185,Yes
137,y,102,69,27,96,120,73,65,-239,135,79,68,-296,128,75,72,-314,84,55,56,-495,Yes
138,x,104,83,83,-254,41,21,16,-158,3,-1,0,-79,-7,-1,3,-65,-40,-28,-22,183,Yes
138,y,102,69,26,99,119,73,65,-239,135,79,69,-297,127,76,71,-314,84,55,56,-495,Yes
139,x,104,84,83,-254,40,21,16,-158,4,-2,1,-79,-7,-2,3,-65,-40,-27,-22,182,Yes
139,y,102,68,25,98,120,74,65,-240,135,80,68,-297,128,75,72,-314,84,55,56,-495,Yes
140,x,105,83,84,-255,41,20,15,-156,4,-2,0,-79,-6,-2,3,-66,-40,-28,-22,183,Yes
140,y,101,69,27,95,121,74,66,-241,135,80,68,-297,128,76,71,-315,85,56,56,-496,Yes
141,x,104,83,84,-254,41,20,15,-156,4,-2,-1,-78,-7,-2,4,-65,-41,-29,-21,182,Yes
141,y,101,69,28,96,120,74,65,-240,135,80,68,-297,128,76,71,-315,85,55,57,-497,Yes
142,x,106,84,83,-255,41,21,15,-157,4,-1,0,-79,-7,-2,4,-66,-41,-28,-22,183,Yes
142,y,102,68,28,96,121,73,65,-239,135,79,68,-297,129,76,71,-315,85,55,57,-497,Yes
143,x,105,84,83,-256,42,21,16,-159,5,-2,1,-80,-7,-2,4,-66,-41,-28,-22,183,Yes
143,y,102,68,28,95,121,73,66,-240,135,80,68,-297,129,75,72,-315,85,55,57,-497,Yes
144,x,105,84,84,-256,41,21,16,-159,5,-2,1,-80,-6,-2,3,-66,-41,-28,-21,182,Yes
144,y,102,68,28,96,121,73,66,-241,136,80,68,-298,129,75,72,-315,84,56,56,-496,Yes
145,x,105,85,84,-257,41,21,16,-159,5,-2,1,-80,-7,-1,3,-66,-41,-28,-22,182,Yes
145,y,101,68,29,95,121,74,65,-240,135,80,69,-298,128,76,72,-316,85,56,57,-498,Yes
146,x,105,85,84,-257,41,22,15,-159,5,-1,0,-80,-7,-1,3,-66,-41,-28,-21,182,Yes
146,y,102,68,28,96,121,74,66,-242,136,80,69,-299,129,76,72,-316,85,55,57,-497,Yes
147,x,105,85,84,-256,41,22,15,-159,5,-1,0,-80,-6,-2,3,-66,-40,-29,-22,183,Yes
147,y,102,68,28,96,122,73,66,-242,136,81,69,-300,129,76,72,-317,85,56,56,-496,Yes
148,x,105,85,83,-256,42,21,16,-160,5,-1,0,-80,-7,-2,3,-65,-40,-29,-22,184,Yes
148,y,102,68,29,95,121,73,66,-241,135,81,69,-299,129,76,72,-317,85,56,57,-497,Yes
149,x,104,85,83,-256,43,21,14,-158,4,-1,0,-80,-7,-1,3,-65,-41,-28,-22,182,Yes
149,y,100,68,29,96,121,73,66,-241,136,80,69,-299,129,77,72,-317,85,56,57,-498,Yes
150,x,104,85,84,-256,42,21,15,-158,4,-1,0,-80,-7,-1,3,-65,-41,-28,-22,182,Yes
150,y,100,67,29,96,122,74,66,-242,135,81,70,-301,130,76,72,-317,85,56,57,-498,Yes
151,x,105,86,84,-257,42,22,17,-162,5,-1,1,-81,-7,-1,3,-66,-41,-28,-22,183,Yes
151,y,101,67,28,98,122,74,66,-242,136,80,70,-300,129,77,72,-318,85,56,58,-501,Yes
152,x,105,86,84,-258,43,22,16,-161,5,-1,1,-82,-6,-2,4,-67,-41,-28,-22,184,Yes
152,y,100,67,25,102,122,74,66,-243,137,81,69,-300,130,77,72,-319,86,56,57,-501,Yes
153,x,106,85,83,-257,43,22,16,-161,5,0,0,-82,-6,-1,4,-68,-42,-27,-21,182,Yes
153,y,100,67,24,104,122,74,66,-242,137,81,68,-300,131,77,71,-318,85,56,57,-500,Yes
154,x,106,86,84,-257,43,22,16,-162,5,0,1,-83,-6,-1,4,-69,-41,-27,-21,182,Yes
154,y,100,67,22,105,121,74,66,-241,137,80,69,-300,131,77,72,-319,85,56,57,-501,Yes
155,x,106,86,83,-256,44,22,17,-164,6,0,1,-83,-6,-1,4,-69,-41,-28,-21,182,Yes
155,y,99,66,21,107,121,75,66,-242,137,80,70,-300,131,77,71,-318,85,57,56,-500,Yes
156,x,106,85,83,-255,44,22,17,-164,6,-1,1,-82,-6,-1,4,-69,-41,-28,-21,182,Yes
156,y,99,66,22,106,121,75,66,-241,137,80,69,-300,132,77,71,-319,85,57,57,-500,Yes
157,x,105,86,83,-256,44,22,17,-163,5,0,1,-83,-6,-1,4,-68,-42,-28,-21,182,Yes
157,y,99,66,21,107,121,75,66,-242,137,80,70,-300,132,76,72,-320,86,57,57,-500,Yes
158,x,105,86,83,-256,44,22,17,-163,5,0,1,-83,-6,-1,5,-69,-42,-27,-21,180,Yes
158,y,98,66,21,106,122,75,66,-242,136,81,70,-301,132,76,72,-319,86,56,58,-500,Yes
159,x,105,85,84,-255,43,22,16,-162,6,-1,1,-83,-5,-1,4,-69,-42,-27,-21,181,Yes
159,y,99,66,21,107,121,75,67,-243,137,81,70,-301,131,76,72,-319,86,57,57,-500,Yes
160,x,106,85,83,-255,44,21,16,-161,5,-1,0,-81,-6,-1,4,-69,-41,-28,-21,182,Yes
160,y,99,65,21,108,121,76,67,-244,137,81,70,-301,131,77,71,-318,85,57,57,-500,Yes
161,x,106,85,83,-255,44,22,16,-162,5,-1,1,-82,-6,-1,5,-70,-41,-28,-21,182,Yes
161,y,99,65,21,108,121,75,66,-242,137,81,69,-299,131,76,72,-318,85,56,57,-500,Yes
162,x,106,86,83,-255,45,21,17,-163,6,-1,1,-83,-5,-1,5,-70,-42,-28,-22,184,Yes
162,y,98,66,20,108,121,75,66,-241,137,80,69,-299,131,77,71,-318,85,57,56,-500,Yes
163,x,106,84,83,-253,44,22,15,-161,6,-1,1,-83,-5,-1,5,-71,-42,-29,-21,183,Yes
163,y,99,65,18,111,121,75,66,-242,137,81,70,-300,131,76,72,-319,86,57,57,-501,Yes
164,x,106,85,82,-252,45,22,17,-164,6,-1,1,-83,-5,-2,5,-70,-42,-28,-21,182,Yes
164,y,98,66,20,109,120,74,67,-241,137,80,69,-299,131,77,71,-318,87,56,57,-501,Yes
165,x,106,85,82,-251,44,22,17,-164,7,-1,1,-84,-5,-1,5,-71,-42,-28,-21,182,Yes
165,y,99,64,19,111,120,75,66,-240,136,81,69,-299,131,76,72,-318,86,56,57,-500,Yes
166,x,106,84,83,-251,43,23,17,-164,6,0,1,-84,-6,0,5,-72,-42,-27,-20,180,Yes
166,y,98,65,18,111,119,75,67,-241,137,80,70,-300,131,76,72,-319,86,57,57,-499,Yes
167,x,106,85,83,-252,43,22,17,-163,6,0,1,-85,-5,0,5,-72,-42,-27,-20,180,Yes
167,y,98,65,18,111,119,75,67,-241,137,80,70,-300,131,76,72,-318,86,57,56,-500,Yes
168,x,106,85,83,-254,45,22,17,-164,6,0,2,-85,-5,0,5,-73,-41,-26,-20,179,Yes
168,y,100,64,18,110,120,75,66,-240,136,80,70,-299,130,76,72,-318,86,56,57,-500,Yes
169,x,105,85,83,-254,44,23,17,-164,6,1,1,-85,-5,0,6,-73,-41,-27,-19,179,Yes
169,y,100,66,19,108,119,74,66,-239,136,79,69,-297,131,76,71,-317,85,57,57,-500,Yes
170,x,105,84,83,-255,45,22,17,-163,7,0,1,-85,-4,0,5,-72,-41,-27,-20,180,Yes
170,y,100,65,20,107,118,75,66,-239,135,80,68,-297,131,76,72,-318,85,57,57,-499,Yes
171,x,106,84,83,-255,44,22,17,-163,7,0,1,-85,-4,-1,6,-72,-41,-27,-19,179,Yes
171,y,101,65,20,105,119,74,66,-239,136,80,69,-298,130,76,72,-318,86,57,57,-499,Yes
172,x,106,84,82,-254,44,21,17,-162,6,0,2,-85,-5,-1,5,-70,-41,-27,-20,180,Yes
172,y,100,66,20,105,120,75,65,-240,136,80,69,-299,131,77,71,-319,86,57,58,-500,Yes
173,x,106,84,82,-254,43,22,16,-161,6,0,1,-84,-5,-1,5,-71,-40,-27,-20,180,Yes
173,y,100,66,21,104,120,75,66,-241,136,80,69,-299,131,76,72,-319,86,57,58,-500,Yes
174,x,105,84,83,-254,43,22,17,-162,6,0,1,-84,-5,-1,5,-71,-41,-27,-20,181,Yes
174,y,100,65,21,106,120,74,66,-240,135,81,69,-299,131,76,72,-319,86,57,57,-499,Yes
175,x,106,84,82,-254,43,22,15,-160,6,-1,2,-84,-5,-1,5,-70,-41,-27,-21,181,Yes
175,y,100,66,20,106,120,74,66,-240,135,81,69,-299,131,76,71,-317,86,56,57,-499,Yes
176,x,105,84,82,-253,44,21,16,-161,6,-1,1,-82,-6,-1,5,-69,-41,-28,-20,180,Yes
176,y,100,65,21,105,120,75,66,-241,136,80,69,-299,131,76,72,-318,86,56,58,-500,Yes
177,x,105,83,82,-253,44,22,15,-160,6,-1,1,-82,-6,-1,5,-69,-41,-27,-21,180,Yes
177,y,101,65,22,104,120,75,66,-241,136,80,69,-299,131,76,72,-318,86,56,58,-500,Yes
178,x,106,84,81,-253,44,22,16,-161,5,0,2,-83,-6,-1,5,-69,-41,-27,-21,180,Yes
178,y,101,65,20,105,120,75,66,-241,136,81,68,-298,131,76,71,-317,86,56,57,-498,Yes
179,x,105,83,82,-253,44,22,16,-161,6,-1,2,-83,-6,-1,5,-69,-41,-27,-21,180,Yes
179,y,100,65,21,104,120,75,66,-240,135,81,68,-298,131,76,71,-317,85,57,57,-498,Yes
180,x,105,84,81,-252,44,21,15,-160,6,0,1,-84,-4,-2,5,-70,-40,-27,-21,181,Yes
180,y,100,65,22,104,121,74,66,-241,136,80,69,-299,132,76,72,-319,86,57,57,-500,Yes
181,x,104,84,81,-253,44,22,16,-162,6,0,1,-84,-5,-1,5,-70,-40,-27,-21,181,Yes
181,y,100,65,22,105,120,75,66,-242,136,80,69,-299,131,76,72,-318,86,56,58,-499,Yes
182,x,105,85,82,-255,44,22,17,-163,6,-1,1,-82,-6,-1,5,-70,-41,-27,-21,183,Yes
182,y,100,66,20,106,120,75,66,-242,135,80,69,-298,131,77,71,-318,86,57,57,-500,Yes
183,x,105,83,82,-254,44,21,16,-161,6,-1,1,-82,-6,-1,5,-70,-41,-27,-20,181,Yes
183,y,100,65,22,105,120,75,66,-242,136,81,69,-300,132,76,71,-318,86,57,57,-499,Yes
184,x,105,85,83,-256,44,22,17,-163,6,-1,1,-82,-5,-1,4,-70,-40,-28,-20,181,Yes
184,y,101,66,21,103,121,75,66,-242,136,80,69,-299,132,76,72,-319,87,57,57,-500,Yes
185,x,105,84,82,-254,44,22,15,-160,6,-1,1,-83,-5,-1,5,-70,-41,-27,-21,182,Yes
185,y,100,66,20,105,121,75,66,-242,136,81,68,-298,131,76,72,-319,86,57,57,-499,Yes
186,x,105,84,83,-254,43,22,16,-161,6,-1,1,-82,-6,-1,5,-70,-41,-27,-21,182,Yes
186,y,100,66,20,105,120,75,67,-242,136,80,68,-298,131,77,71,-318,86,57,57,-499,Yes
187,x,105,84,82,-253,43,22,16,-161,6,-1,1,-82,-6,0,4,-70,-41,-27,-21,182,Yes
187,y,100,66,20,105,121,74,67,-242,136,80,68,-298,132,76,71,-318,86,57,57,-499,Yes
188,x,105,84,82,-253,43,22,15,-160,6,0,0,-82,-6,0,4,-70,-41,-27,-20,181,Yes
188,y,100,65,21,104,120,76,66,-242,136,80,68,-298,132,76,71,-318,85,57,58,-498,Yes
189,x,105,84,82,-253,44,21,15,-160,6,-1,1,-82,-5,-1,4,-70,-41,-27,-20,181,Yes
189,y,99,66,21,104,121,75,66,-242,136,80,68,-297,131,76,71,-318,86,57,57,-499,Yes
190,x,105,84,83,-254,44,21,16,-161,6,-1,1,-82,-5,-1,4,-69,-41,-28,-20,181,Yes
190,y,100,67,20,104,121,75,66,-242,136,80,68,-297,131,76,71,-317,85,56,58,-498,Yes
191,x,105,84,82,-254,44,22,15,-161,6,0,0,-82,-5,-1,5,-70,-41,-27,-21,181,Yes
191,y,99,66,21,104,120,75,66,-241,136,80,69,-298,131,76,71,-317,85,56,57,-497,Yes
192,x,105,84,82,-254,44,22,15,-161,6,0,0,-82,-5,-1,5,-70,-41,-27,-21,182,Yes
192,y,99,66,21,104,120,75,66,-241,136,80,69,-298,131,76,71,-317,85,56,57,-498,Yes
193,x,105,83,83,-253,44,21,16,-160,5,-1,1,-82,-5,-1,4,-69,-41,-27,-21,181,Yes
193,y,100,66,21,103,120,75,67,-242,136,80,69,-298,131,76,71,-317,85,57,57,-498,Yes
194,x,105,83,83,-252,43,22,16,-161,6,-1,0,-81,-5,-1,4,-69,-41,-27,-21,181,Yes
194,y,99,66,21,104,120,75,67,-242,136,80,69,-298,130,76,72,-317,85,56,58,-498,Yes
195,x,105,83,83,-252,44,21,16,-161,6,-1,0,-81,-5,-1,5,-70,-41,-28,-20,180,Yes
195,y,99,65,21,105,120,76,66,-242,136,80,69,-298,130,76,72,-317,85,56,58,-499,Yes
