i,j,x,y
72,19,1199,758
72,20,1171,683
72,21,1137,605
72,22,1186,962
72,23,1228,931
72,24,1224,882
72,25,1187,837
72,26,1148,798
72,27,1204,792
72,28,1197,720
72,29,1176,672
72,30,1150,621
72,31,1136,775
72,32,1087,648
72,33,1031,565
72,34,977,489
72,35,1075,787
72,36,1019,671
72,37,974,580
72,38,934,504
72,39,1018,820
72,40,929,749
72,41,864,701
72,42,810,652
73,1,1363,1081
73,2,1219,1069
73,3,1102,994
73,4,1039,920
73,5,1025,839
73,6,1041,869
73,7,933,765
73,8,880,700
73,9,838,643
73,10,1093,835
73,11,1021,667
73,12,980,564
73,13,947,477
73,14,1158,841
73,15,1081,706
73,16,1044,632
73,17,1010,564
73,18,1222,874
73,19,1154,810
73,20,1102,757
73,21,1056,699
74,1,1371,1126
74,2,1231,1140
74,3,1092,1093
74,4,1002,1056
74,5,940,1026
74,6,1059,903
74,7,947,799
74,8,881,747
74,9,826,707
74,10,1116,863
74,11,1033,681
74,12,959,579
74,13,900,505
74,14,1186,854
74,15,1074,756
74,16,971,783
74,17,898,813
74,18,1255,879
74,19,1157,881
74,20,1105,954
74,21,1075,1020
75,1,1402,1085
75,2,1251,1097
75,3,1102,1074
75,4,995,1084
75,5,919,1078
75,6,1066,865
75,7,952,773
75,8,881,724
75,9,820,692
75,10,1127,819
75,11,1018,677
75,12,915,653
75,13,840,666
75,14,1193,809
75,15,1050,781
75,16,987,893
75,17,959,992
75,18,1256,833
75,19,1164,920
75,20,1139,1013
75,21,1134,1078
76,1,1384,1118
76,2,1236,1121
76,3,1080,1065
76,4,958,1036
76,5,862,1026
76,6,1061,873
76,7,961,783
76,8,890,756
76,9,842,764
76,10,1122,828
76,11,1037,669
76,12,957,666
76,13,922,715
76,14,1190,817
76,15,1061,759
76,16,1019,868
76,17,1017,964
76,18,1261,832
76,19,1160,871
76,20,1143,962
76,21,1153,1031
77,1,1375,1144
77,2,1224,1137
77,3,1088,1046
77,4,985,971
77,5,897,912
77,6,1089,879
77,7,981,783
77,8,925,779
77,9,914,812
77,10,1144,834
77,11,1056,669
77,12,988,687
77,13,975,740
77,14,1203,821
77,15,1069,732
77,16,1056,839
77,17,1088,916
77,18,1267,828
77,19,1144,836
77,20,1147,920
77,21,1187,965
78,1,1352,1134
78,2,1210,1103
78,3,1084,1021
78,4,1004,943
78,5,941,861
78,6,1084,866
78,7,1004,747
78,8,968,800
78,9,980,852
78,10,1129,831
78,11,1032,685
78,12,1005,771
78,13,1036,835
78,14,1187,814
78,15,1065,725
78,16,1070,835
78,17,1120,889
78,18,1256,814
78,19,1141,805
78,20,1149,887
78,21,1202,914
79,1,1359,1127
79,2,1213,1095
79,3,1092,1016
79,4,1016,931
79,5,966,839
79,6,1099,870
79,7,1024,759
79,8,998,819
79,9,1018,878
79,10,1136,837
79,11,1048,692
79,12,1016,767
79,13,1032,834
79,14,1187,817
79,15,1076,685
79,16,1062,784
79,17,1096,861
79,18,1250,809
79,19,1133,766
79,20,1133,850
79,21,1179,907
80,1,1344,1117
80,2,1196,1078
80,3,1085,1013
80,4,1015,936
80,5,977,844
80,6,1088,858
80,7,1017,764
80,8,1003,828
80,9,1033,893
80,10,1126,827
80,11,1044,700
80,12,1025,785
80,13,1057,860
80,14,1177,807
80,15,1087,658
80,16,1061,747
80,17,1093,834
80,18,1239,801
80,19,1144,700
80,20,1109,769
80,21,1131,851
81,1,1345,1101
81,2,1199,1076
81,3,1081,1019
81,4,1007,951
81,5,957,873
81,6,1079,860
81,7,1010,812
81,8,961,831
81,9,947,874
81,10,1117,811
81,11,1069,675
81,12,1014,689
81,13,1003,751
81,14,1171,791
81,15,1130,652
81,16,1066,667
81,17,1048,725
81,18,1239,792
81,19,1192,684
81,20,1122,684
81,21,1085,723
82,1,1347,1079
82,2,1216,1069
82,3,1091,1023
82,4,1007,967
82,5,953,893
82,6,1080,855
82,7,994,824
82,8,941,840
82,9,918,883
82,10,1114,805
82,11,1060,670
82,12,992,668
82,13,958,726
82,14,1162,785
82,15,1122,650
82,16,1045,647
82,17,998,694
82,18,1222,791
82,19,1176,686
82,20,1108,664
82,21,1055,682
83,1,1359,1085
83,2,1217,1081
83,3,1090,1035
83,4,1005,986
83,5,928,926
83,6,1071,861
83,7,966,830
83,8,904,849
83,9,863,894
83,10,1107,816
83,11,1046,687
83,12,976,656
83,13,916,669
83,14,1158,802
83,15,1100,680
83,16,1032,638
83,17,975,630
83,18,1212,813
83,19,1154,713
83,20,1095,656
83,21,1038,617
84,1,1368,1092
84,2,1222,1090
84,3,1092,1036
84,4,996,991
84,5,899,949
84,6,1073,862
84,7,969,831
84,8,900,846
84,9,844,877
84,10,1110,817
84,11,1048,678
84,12,968,636
84,13,893,626
84,14,1161,808
84,15,1095,675
84,16,1012,639
84,17,939,631
84,18,1214,824
84,19,1147,727
84,20,1082,684
84,21,1016,659
85,1,1375,1102
85,2,1225,1094
85,3,1092,1031
85,4,996,990
85,5,899,959
85,6,1083,865
85,7,975,813
85,8,896,810
85,9,832,821
85,10,1124,828
85,11,1042,676
85,12,953,650
85,13,879,656
85,14,1176,824
85,15,1091,673
85,16,991,645
85,17,912,647
85,18,1229,843
85,19,1130,754
85,20,1043,741
85,21,966,748
86,1,1371,1103
86,2,1221,1085
86,3,1092,1022
86,4,989,983
86,5,892,961
86,6,1091,852
86,7,992,774
86,8,918,757
86,9,854,755
86,10,1136,816
86,11,1066,658
86,12,986,628
86,13,919,637
86,14,1190,810
86,15,1083,676
86,16,979,714
86,17,905,772
86,18,1244,828
86,19,1128,767
86,20,1050,804
86,21,997,850
87,1,1370,1086
87,2,1218,1073
87,3,1088,1010
87,4,988,967
87,5,900,938
87,6,1100,845
87,7,1006,761
87,8,928,754
87,9,873,766
87,10,1150,807
87,11,1088,625
87,12,1000,629
87,13,952,682
87,14,1202,800
87,15,1105,666
87,16,1022,729
87,17,989,802
87,18,1249,817
87,19,1139,764
87,20,1073,819
87,21,1044,877
88,1,1393,1077
88,2,1236,1066
88,3,1095,997
88,4,992,950
88,5,901,918
88,6,1103,837
88,7,1009,755
88,8,930,763
88,9,884,787
88,10,1152,803
88,11,1084,643
88,12,1004,676
88,13,970,740
88,14,1208,795
88,15,1128,651
88,16,1045,703
88,17,1015,768
88,18,1261,811
88,19,1169,742
88,20,1091,778
88,21,1053,823
89,1,1390,1079
89,2,1232,1061
89,3,1102,995
89,4,1002,942
89,5,911,907
89,6,1111,832
89,7,1021,761
89,8,956,767
89,9,923,802
89,10,1163,795
89,11,1109,657
89,12,1051,663
89,13,1025,709
89,14,1221,784
89,15,1146,638
89,16,1075,671
89,17,1054,733
89,18,1272,795
89,19,1173,723
89,20,1106,761
89,21,1081,814
90,1,1377,1060
90,2,1239,1057
90,3,1107,993
90,4,1004,941
90,5,911,907
90,6,1110,825
90,7,1023,745
90,8,966,771
90,9,950,824
90,10,1160,786
90,11,1107,636
90,12,1053,667
90,13,1042,726
90,14,1215,772
90,15,1139,627
90,16,1084,687
90,17,1086,757
90,18,1269,777
90,19,1176,688
90,20,1120,735
90,21,1112,796
91,1,1374,1052
91,2,1235,1056
91,3,1105,994
91,4,1005,944
91,5,918,914
91,6,1108,822
91,7,1025,753
91,8,970,783
91,9,963,841
91,10,1154,779
91,11,1108,641
91,12,1046,671
91,13,1032,732
91,14,1206,761
91,15,1150,622
91,16,1089,661
91,17,1085,722
91,18,1258,762
91,19,1188,665
91,20,1123,690
91,21,1105,740
92,1,1373,1055
92,2,1232,1054
92,3,1106,999
92,4,1008,953
92,5,916,921
92,6,1110,826
92,7,1026,758
92,8,975,795
92,9,960,857
92,10,1153,784
92,11,1108,646
92,12,1046,671
92,13,1016,725
92,14,1202,766
92,15,1151,631
92,16,1083,669
92,17,1057,728
92,18,1250,765
92,19,1186,668
92,20,1112,687
92,21,1070,729
93,1,1380,1047
93,2,1239,1054
93,3,1108,1000
93,4,1006,957
93,5,911,935
93,6,1109,824
93,7,1025,764
93,8,979,796
93,9,958,851
93,10,1146,784
93,11,1077,685
93,12,1011,722
93,13,974,793
93,14,1192,765
93,15,1143,644
93,16,1065,660
93,17,1019,712
93,18,1240,764
93,19,1180,675
93,20,1105,671
93,21,1051,695
94,1,1367,1049
94,2,1232,1055
94,3,1105,1005
94,4,1004,972
94,5,908,952
94,6,1104,822
94,7,1016,754
94,8,966,787
94,9,943,848
94,10,1141,788
94,11,1070,685
94,12,1004,708
94,13,964,774
94,14,1186,772
94,15,1132,652
94,16,1057,654
94,17,1007,696
94,18,1233,774
94,19,1172,687
94,20,1097,668
94,21,1035,676
95,1,1370,1040
95,2,1236,1050
95,3,1107,1010
95,4,1003,983
95,5,908,969
95,6,1099,825
95,7,1002,750
95,8,946,773
95,9,916,823
95,10,1136,789
95,11,1067,664
95,12,990,659
95,13,932,694
95,14,1182,774
95,15,1118,648
95,16,1033,638
95,17,969,665
95,18,1228,780
95,19,1157,692
95,20,1082,668
95,21,1016,665
96,1,1374,1040
96,2,1234,1049
96,3,1103,1014
96,4,998,996
96,5,898,988
96,6,1095,819
96,7,991,768
96,8,922,756
96,9,857,754
96,10,1132,786
96,11,1052,682
96,12,974,649
96,13,896,632
96,14,1178,778
96,15,1094,663
96,16,1009,623
96,17,931,600
96,18,1226,788
96,19,1144,702
96,20,1073,663
96,21,1003,633
97,1,1369,1050
97,2,1228,1057
97,3,1096,1022
97,4,992,1015
97,5,895,1012
97,6,1095,819
97,7,986,763
97,8,912,733
97,9,845,708
97,10,1137,783
97,11,1055,647
97,12,977,597
97,13,905,574
97,14,1186,778
97,15,1100,652
97,16,1008,612
97,17,930,592
97,18,1230,797
97,19,1141,712
97,20,1061,676
97,21,986,651
98,1,1381,1070
98,2,1228,1062
98,3,1092,1021
98,4,987,1012
98,5,891,1007
98,6,1090,834
98,7,985,762
98,8,919,727
98,9,857,695
98,10,1136,799
98,11,1034,687
98,12,957,643
98,13,886,616
98,14,1191,791
98,15,1103,661
98,16,1020,606
98,17,946,573
98,18,1242,799
98,19,1130,727
98,20,1044,714
98,21,967,709
99,1,1378,1081
99,2,1224,1070
99,3,1092,1016
99,4,993,994
99,5,902,981
99,6,1101,836
99,7,1009,753
99,8,945,713
99,9,885,683
99,10,1148,805
99,11,1060,679
99,12,978,658
99,13,908,662
99,14,1203,797
99,15,1109,651
99,16,1010,622
99,17,934,618
99,18,1254,805
99,19,1133,739
99,20,1048,767
99,21,987,805
100,1,1378,1070
100,2,1234,1069
100,3,1099,1008
100,4,992,974
100,5,899,955
100,6,1102,832
100,7,993,749
100,8,928,700
100,9,868,663
100,10,1154,797
100,11,1091,647
100,12,1021,601
100,13,955,594
100,14,1214,787
100,15,1104,661
100,16,1005,687
100,17,933,735
100,18,1269,796
100,19,1144,748
100,20,1071,798
100,21,1026,855
101,1,1378,1065
101,2,1228,1062
101,3,1100,1006
101,4,996,973
101,5,906,951
101,6,1112,832
101,7,1007,742
101,8,937,693
101,9,879,651
101,10,1160,798
101,11,1101,633
101,12,1026,612
101,13,974,635
101,14,1210,786
101,15,1103,655
101,16,1011,710
101,17,966,779
101,18,1251,792
101,19,1130,736
101,20,1072,800
101,21,1056,868
102,1,1379,1059
102,2,1227,1060
102,3,1095,1005
102,4,997,971
102,5,910,950
102,6,1105,825
102,7,1018,730
102,8,943,693
102,9,885,656
102,10,1152,794
102,11,1086,629
102,12,1005,644
102,13,965,691
102,14,1200,785
102,15,1108,652
102,16,1032,717
102,17,1011,785
102,18,1243,792
102,19,1136,710
102,20,1080,767
102,21,1075,834
103,1,1370,1065
103,2,1218,1063
103,3,1088,1008
103,4,993,974
103,5,911,956
103,6,1102,828
103,7,1021,737
103,8,943,715
103,9,884,701
103,10,1146,798
103,11,1084,627
103,12,1001,640
103,13,962,691
103,14,1190,787
103,15,1105,645
103,16,1029,706
103,17,1009,774
103,18,1231,791
103,19,1129,706
103,20,1074,761
103,21,1072,826
104,1,1373,1071
104,2,1214,1066
104,3,1084,1008
104,4,991,972
104,5,910,954
104,6,1110,827
104,7,1032,744
104,8,958,738
104,9,904,751
104,10,1148,798
104,11,1084,643
104,12,993,644
104,13,940,688
104,14,1190,788
104,15,1103,646
104,16,1013,692
104,17,974,756
104,18,1225,794
104,19,1121,710
104,20,1062,766
104,21,1050,836
105,1,1378,1071
105,2,1211,1061
105,3,1089,1008
105,4,1000,978
105,5,915,955
105,6,1108,830
105,7,1047,728
105,8,973,705
105,9,912,708
105,10,1142,805
105,11,1082,648
105,12,987,635
105,13,919,665
105,14,1178,796
105,15,1102,653
105,16,998,663
105,17,930,707
105,18,1208,801
105,19,1106,716
105,20,1015,735
105,21,954,775
106,1,1380,1063
106,2,1207,1056
106,3,1092,1016
106,4,1004,990
106,5,911,965
106,6,1095,838
106,7,1021,757
106,8,964,770
106,9,922,810
106,10,1126,806
106,11,1057,675
106,12,977,633
106,13,905,614
106,14,1165,802
106,15,1097,668
106,16,1013,622
106,17,940,608
106,18,1204,812
106,19,1115,716
106,20,1034,683
106,21,956,666
107,1,1373,1072
107,2,1208,1069
107,3,1091,1025
107,4,1002,998
107,5,908,976
107,6,1088,841
107,7,1025,743
107,8,974,738
107,9,932,759
107,10,1120,812
107,11,1059,674
107,12,986,619
107,13,917,586
107,14,1160,809
107,15,1090,671
107,16,1013,612
107,17,942,581
107,18,1198,822
107,19,1108,725
107,20,1032,684
107,21,958,655
108,1,1381,1068
108,2,1210,1068
108,3,1090,1029
108,4,1000,1006
108,5,906,984
108,6,1083,853
108,7,1010,761
108,8,961,771
108,9,922,807
108,10,1115,821
108,11,1045,687
108,12,974,628
108,13,909,588
108,14,1155,818
108,15,1086,678
108,16,1014,608
108,17,949,564
108,18,1192,831
108,19,1100,736
108,20,1027,693
108,21,955,658
109,1,1381,1085
109,2,1208,1078
109,3,1091,1035
109,4,1003,1012
109,5,905,992
109,6,1086,854
109,7,1018,749
109,8,963,729
109,9,919,736
109,10,1117,827
109,11,1050,687
109,12,979,627
109,13,914,590
109,14,1154,825
109,15,1077,685
109,16,1002,615
109,17,934,571
109,18,1189,840
109,19,1088,752
109,20,1007,717
109,21,931,689
110,1,1387,1087
110,2,1223,1095
110,3,1086,1044
110,4,993,1014
110,5,898,991
110,6,1087,862
110,7,1028,745
110,8,988,675
110,9,952,620
110,10,1119,834
110,11,1043,697
110,12,981,630
110,13,918,581
110,14,1157,828
110,15,1051,702
110,16,958,646
110,17,873,616
110,18,1191,836
110,19,1065,757
110,20,978,731
110,21,901,716
111,1,1377,1094
111,2,1226,1097
111,3,1084,1037
111,4,990,1005
111,5,896,985
111,6,1097,849
111,7,1041,722
111,8,998,647
111,9,955,591
111,10,1130,824
111,11,1021,717
111,12,932,673
111,13,852,654
111,14,1169,823
111,15,1061,693
111,16,969,630
111,17,888,600
111,18,1202,837
111,19,1076,786
111,20,983,785
111,21,899,794
112,1,1379,1094
112,2,1232,1095
112,3,1097,1033
112,4,998,988
112,5,904,959
112,6,1110,858
112,7,1037,743
112,8,982,682
112,9,937,640
112,10,1150,830
112,11,1083,671
112,12,1009,605
112,13,938,567
112,14,1190,821
112,15,1055,712
112,16,955,745
112,17,885,796
112,18,1222,827
112,19,1080,803
112,20,1008,846
112,21,966,890
113,1,1369,1077
113,2,1221,1070
113,3,1095,1005
113,4,994,959
113,5,903,936
113,6,1096,853
113,7,1025,726
113,8,969,669
113,9,924,632
113,10,1143,822
113,11,1081,656
113,12,1004,637
113,13,959,664
113,14,1188,814
113,15,1064,706
113,16,984,767
113,17,953,840
113,18,1227,820
113,19,1097,802
113,20,1050,864
113,21,1046,919
114,1,1369,1084
114,2,1219,1079
114,3,1094,1017
114,4,996,974
114,5,911,941
114,6,1110,851
114,7,1031,748
114,8,966,691
114,9,922,639
114,10,1157,820
114,11,1073,662
114,12,1015,683
114,13,995,728
114,14,1204,805
114,15,1087,671
114,16,1033,735
114,17,1033,799
114,18,1244,804
114,19,1111,768
114,20,1081,839
114,21,1109,900
115,1,1373,1080
115,2,1217,1076
115,3,1087,1018
115,4,988,971
115,5,902,936
115,6,1105,855
115,7,1010,771
115,8,946,718
115,9,894,668
115,10,1152,817
115,11,1059,691
115,12,997,688
115,13,966,706
115,14,1202,799
115,15,1091,666
115,16,1054,729
115,17,1065,797
115,18,1246,797
115,19,1122,745
115,20,1095,808
115,21,1123,870
116,1,1381,1060
116,2,1229,1063
116,3,1096,1013
116,4,995,966
116,5,907,934
116,6,1097,854
116,7,994,785
116,8,923,745
116,9,866,704
116,10,1144,813
116,11,1056,700
116,12,1002,716
116,13,981,750
116,14,1197,793
116,15,1094,668
116,16,1056,729
116,17,1072,792
116,18,1246,791
116,19,1131,739
116,20,1099,797
116,21,1125,853
117,1,1373,1060
117,2,1233,1068
117,3,1100,1012
117,4,1003,964
117,5,914,935
117,6,1097,860
117,7,993,798
117,8,915,775
117,9,853,752
117,10,1141,816
117,11,1061,694
117,12,1009,726
117,13,998,783
117,14,1190,793
117,15,1096,668
117,16,1050,727
117,17,1060,795
117,18,1237,788
117,19,1141,723
117,20,1088,768
117,21,1086,822
118,1,1377,1061
118,2,1234,1067
118,3,1103,1016
118,4,1006,971
118,5,917,938
118,6,1103,860
118,7,998,806
118,8,914,802
118,9,852,805
118,10,1142,819
118,11,1067,695
118,12,1000,728
118,13,978,789
118,14,1184,798
118,15,1096,677
118,16,1031,738
118,17,1025,809
118,18,1224,795
118,19,1134,724
118,20,1062,762
118,21,1041,812
119,1,1381,1060
119,2,1239,1069
119,3,1111,1027
119,4,1013,990
119,5,922,954
119,6,1095,859
119,7,998,815
119,8,926,825
119,9,862,851
119,10,1125,818
119,11,1038,723
119,12,958,742
119,13,901,800
119,14,1166,798
119,15,1086,686
119,16,998,700
119,17,941,748
119,18,1209,797
119,19,1119,724
119,20,1035,725
119,21,975,749
120,1,1378,1068
120,2,1226,1074
120,3,1103,1036
120,4,1010,1001
120,5,918,969
120,6,1095,865
120,7,996,810
120,8,932,833
120,9,885,876
120,10,1121,826
120,11,1029,721
120,12,944,718
120,13,880,748
120,14,1158,810
120,15,1068,692
120,16,974,677
120,17,904,695
120,18,1197,810
120,19,1099,735
120,20,1017,719
120,21,947,719
121,1,1383,1075
121,2,1227,1086
121,3,1103,1053
121,4,1011,1026
121,5,919,998
121,6,1090,876
121,7,996,811
121,8,939,843
121,9,899,894
121,10,1114,839
121,11,1029,720
121,12,946,676
121,13,877,653
121,14,1150,829
121,15,1059,715
121,16,973,675
121,17,904,659
121,18,1186,836
121,19,1089,755
121,20,1013,720
121,21,942,696
122,1,1383,1075
122,2,1227,1086
122,3,1103,1053
122,4,1011,1026
122,5,919,998
122,6,1090,876
122,7,996,811
122,8,939,843
122,9,899,894
122,10,1114,839
122,11,1029,720
122,12,946,676
122,13,877,653
122,14,1150,829
122,15,1059,715
122,16,973,675
122,17,904,659
122,18,1186,836
122,19,1089,755
122,20,1013,720
122,21,942,696
123,1,1383,1101
123,2,1210,1104
123,3,1096,1071
123,4,1009,1055
123,5,915,1035
123,6,1088,896
123,7,1000,814
123,8,952,836
123,9,921,880
123,10,1108,865
123,11,1025,733
123,12,947,678
123,13,886,644
123,14,1134,861
123,15,1047,733
123,16,965,672
123,17,901,634
123,18,1155,875
123,19,1066,785
123,20,993,744
123,21,926,708
123,22,1183,875
123,23,1136,809
123,24,1081,746
123,25,1028,722
123,26,986,709
123,27,1092,706
123,28,1014,668
123,29,962,648
123,30,920,628
123,31,1086,734
123,32,997,693
123,33,936,666
123,34,885,642
123,35,1080,776
123,36,993,746
123,37,933,722
123,38,884,700
123,39,1073,827
123,40,1007,833
123,41,959,842
123,42,920,848
124,1,1392,1095
124,2,1214,1098
124,3,1099,1067
124,4,1014,1058
124,5,925,1043
124,6,1101,900
124,7,1022,815
124,8,969,774
124,9,924,743
124,10,1115,875
124,11,1026,747
124,12,954,687
124,13,896,641
124,14,1131,872
124,15,1033,746
124,16,955,687
124,17,894,645
124,18,1137,886
124,19,1040,800
124,20,967,760
124,21,905,723
124,22,1155,910
124,23,1113,814
124,24,1059,765
124,25,1008,754
124,26,966,748
124,27,1065,727
124,28,997,694
124,29,944,682
124,30,911,673
124,31,1054,750
124,32,968,710
124,33,912,680
124,34,869,653
124,35,1046,788
124,36,966,750
124,37,915,713
124,38,875,681
124,39,1035,834
124,40,973,827
124,41,931,827
124,42,895,824
125,1,1376,1086
125,2,1207,1088
125,3,1084,1054
125,4,1000,1044
125,5,915,1032
125,6,1096,892
125,7,1021,805
125,8,970,754
125,9,927,711
125,10,1110,864
125,11,1022,748
125,12,959,687
125,13,908,639
125,14,1125,862
125,15,1017,751
125,16,942,695
125,17,880,654
125,18,1132,880
125,19,1024,813
125,20,952,776
125,21,888,740
125,22,1147,888
125,23,1113,808
125,24,1065,761
125,25,1006,750
125,26,967,739
125,27,1061,724
125,28,999,674
125,29,958,646
125,30,924,618
125,31,1050,759
125,32,960,723
125,33,903,696
125,34,855,668
125,35,1045,804
125,36,980,800
125,37,946,790
125,38,918,775
125,39,1044,848
125,40,978,861
125,41,943,877
125,42,912,887
126,1,1371,1089
126,2,1210,1090
126,3,1095,1055
126,4,1010,1036
126,5,927,1019
126,6,1115,886
126,7,1047,792
126,8,995,733
126,9,960,689
126,10,1126,861
126,11,1032,741
126,12,972,676
126,13,923,622
126,14,1135,857
126,15,1008,760
126,16,916,711
126,17,841,675
126,18,1134,868
126,19,1016,816
126,20,940,790
126,21,872,764
126,22,1161,880
126,23,1122,809
126,24,1069,769
126,25,1013,757
126,26,968,750
126,27,1067,733
126,28,1010,673
126,29,971,638
126,30,934,605
126,31,1062,762
126,32,962,736
126,33,899,714
126,34,846,691
126,35,1060,800
126,36,981,799
126,37,929,792
126,38,887,781
126,39,1060,837
126,40,985,832
126,41,942,831
126,42,905,827
127,1,1371,1086
127,2,1217,1084
127,3,1100,1046
127,4,1014,1023
127,5,928,1003
127,6,1117,870
127,7,1057,770
127,8,1008,702
127,9,976,649
127,10,1133,848
127,11,1045,727
127,12,988,656
127,13,939,596
127,14,1146,849
127,15,1011,756
127,16,916,715
127,17,837,686
127,18,1151,862
127,19,1023,820
127,20,943,807
127,21,874,793
127,22,1181,877
127,23,1125,830
127,24,1050,806
127,25,978,819
127,26,919,827
127,27,1071,735
127,28,1018,667
127,29,980,625
127,30,944,588
127,31,1069,763
127,32,966,734
127,33,897,719
127,34,837,703
127,35,1072,803
127,36,986,800
127,37,933,795
127,38,887,788
127,39,1076,843
127,40,1003,832
127,41,957,824
127,42,917,813
128,1,1373,1093
128,2,1233,1097
128,3,1104,1045
128,4,1014,1008
128,5,922,976
128,6,1120,863
128,7,1061,755
128,8,1013,681
128,9,980,622
128,10,1144,840
128,11,1065,719
128,12,1011,646
128,13,960,586
128,14,1164,838
128,15,1033,744
128,16,933,707
128,17,846,683
128,18,1179,850
128,19,1041,814
128,20,953,808
128,21,878,803
128,22,1206,873
128,23,1149,822
128,24,1088,787
128,25,1027,781
128,26,971,775
128,27,1099,733
128,28,1037,657
128,29,995,614
128,30,955,574
128,31,1100,756
128,32,1000,709
128,33,929,685
128,34,863,665
128,35,1107,796
128,36,1014,790
128,37,946,794
128,38,889,797
128,39,1114,845
128,40,1044,839
128,41,1006,833
128,42,971,825
129,1,1367,1092
129,2,1224,1091
129,3,1097,1036
129,4,1009,996
129,5,919,963
129,6,1125,859
129,7,1055,761
129,8,1004,698
129,9,963,649
129,10,1153,835
129,11,1088,699
129,12,1038,615
129,13,989,551
129,14,1181,831
129,15,1041,744
129,16,932,726
129,17,843,720
129,18,1206,839
129,19,1058,806
129,20,968,817
129,21,896,828
129,22,1217,885
129,23,1154,859
129,24,1094,819
129,25,1044,794
129,26,1001,775
129,27,1092,743
129,28,1039,661
129,29,1001,617
129,30,966,577
129,31,1104,750
129,32,1012,705
129,33,946,687
129,34,886,672
129,35,1122,774
129,36,1012,749
129,37,920,732
129,38,842,717
129,39,1139,810
129,40,1037,815
129,41,972,818
129,42,916,812
130,1,1355,1087
130,2,1212,1085
130,3,1092,1026
130,4,1003,988
130,5,915,952
130,6,1124,858
130,7,1048,777
130,8,998,732
130,9,955,696
130,10,1158,831
130,11,1092,696
130,12,1033,620
130,13,975,564
130,14,1197,822
130,15,1064,718
130,16,955,718
130,17,867,732
130,18,1235,822
130,19,1089,787
130,20,997,813
130,21,926,842
131,1,1354,1072
131,2,1208,1071
131,3,1092,1008
131,4,1001,969
131,5,914,937
131,6,1117,848
131,7,1038,763
131,8,978,731
131,9,921,709
131,10,1155,823
131,11,1068,716
131,12,984,703
131,13,906,714
131,14,1201,812
131,15,1091,692
131,16,989,695
131,17,906,719
131,18,1243,809
131,19,1112,761
131,20,1035,804
131,21,984,854
132,1,1350,1076
132,2,1214,1070
132,3,1097,1007
132,4,1004,957
132,5,916,915
132,6,1115,844
132,7,1020,765
132,8,957,725
132,9,902,692
132,10,1158,813
132,11,1099,670
132,12,1033,617
132,13,972,589
132,14,1208,802
132,15,1102,689
132,16,1006,733
132,17,944,785
132,18,1251,802
132,19,1130,748
132,20,1074,809
132,21,1053,875
133,1,1351,1078
133,2,1216,1072
133,3,1096,1001
133,4,1005,944
133,5,922,899
133,6,1124,838
133,7,1031,759
133,8,962,722
133,9,903,691
133,10,1171,806
133,11,1103,665
133,12,1035,622
133,13,975,600
133,14,1222,793
133,15,1106,675
133,16,1026,729
133,17,981,784
133,18,1267,793
133,19,1136,761
133,20,1093,832
133,21,1089,893
134,1,1352,1074
134,2,1217,1066
134,3,1099,993
134,4,1011,935
134,5,938,883
134,6,1135,834
134,7,1040,756
134,8,969,717
134,9,907,686
134,10,1182,803
134,11,1119,656
134,12,1048,603
134,13,984,574
134,14,1232,790
134,15,1123,666
134,16,1055,730
134,17,1019,795
134,18,1276,791
134,19,1147,758
134,20,1115,835
134,21,1122,903
135,1,1349,1065
135,2,1223,1059
135,3,1104,985
135,4,1017,925
135,5,945,876
135,6,1134,821
135,7,1041,742
135,8,973,703
135,9,911,677
135,10,1183,790
135,11,1125,642
135,12,1056,591
135,13,996,565
135,14,1237,780
135,15,1130,670
135,16,1076,746
135,17,1053,813
135,18,1293,787
135,19,1172,751
135,20,1151,829
135,21,1169,895
136,1,1354,1064
136,2,1231,1057
136,3,1112,979
136,4,1029,916
136,5,958,869
136,6,1143,805
136,7,1055,725
136,8,987,686
136,9,924,663
136,10,1195,776
136,11,1141,626
136,12,1065,578
136,13,998,551
136,14,1253,770
136,15,1145,658
136,16,1101,748
136,17,1094,819
136,18,1317,783
136,19,1200,744
136,20,1186,823
136,21,1216,883
137,1,1370,1059
137,2,1246,1047
137,3,1121,958
137,4,1039,896
137,5,968,849
137,6,1155,793
137,7,1058,705
137,8,989,671
137,9,921,662
137,10,1209,762
137,11,1140,611
137,12,1059,564
137,13,986,545
137,14,1274,755
137,15,1158,652
137,16,1127,748
137,17,1127,823
137,18,1346,769
137,19,1230,748
137,20,1223,834
137,21,1254,894
138,1,1396,1054
138,2,1267,1038
138,3,1144,947
138,4,1060,881
138,5,985,834
138,6,1165,778
138,7,1060,692
138,8,985,664
138,9,910,660
138,10,1229,744
138,11,1151,593
138,12,1060,562
138,13,982,561
138,14,1301,739
138,15,1177,654
138,16,1155,764
138,17,1162,838
138,18,1380,757
138,19,1270,749
138,20,1263,840
138,21,1292,891
139,1,1404,1050
139,2,1282,1035
139,3,1153,941
139,4,1069,867
139,5,989,817
139,6,1171,764
139,7,1081,675
139,8,1013,632
139,9,952,601
139,10,1241,734
139,11,1180,583
139,12,1119,567
139,13,1076,582
139,14,1317,732
139,15,1222,628
139,16,1172,713
139,17,1160,787
139,18,1399,752
139,19,1312,728
139,20,1288,810
139,21,1300,871
140,1,1432,1035
140,2,1304,1020
140,3,1171,923
140,4,1082,843
140,5,999,801
140,6,1185,745
140,7,1105,658
140,8,1031,611
